size,algorithm,mean completion time,mean execution time,feasible,num variables,num constraints
6,MILP-concurrent,719.809621151311,0.003686706225077311,0.6666666666666666,39.0,112.0

8,MILP-concurrent,878.889707905561,0.13078228632609049,1.0,216.33333333333334,845.0

10,MILP-concurrent,1200.6029725849119,70.78813820415073,1.0,888.7777777777778,5017.444444444444

12,MILP-concurrent,1279.736310262375,664.4225560029348,1.0,1310.4444444444443,8963.111111111111
