size,algorithm,mean completion time,mean execution time,feasible,num variables,num constraints
100,GREEDY-,5262.598516705744,8.065349578857422,1.0
100,LOCALSEARCH-LB-,3935.091378389731,122.73721385002136,1.0
100,LOCALSEARCH-HC-,3935.091378389731,33.41324734687805,1.0
150,GREEDY-,5176.157547542126,47.88631296157837,1.0
150,LOCALSEARCH-LB-,4140.2562854400585,987.450047492981,1.0
150,LOCALSEARCH-HC-,4140.2562854400585,250.81810402870178,1.0
200,GREEDY-,7469.3259595870095,152.75577354431152,1.0
200,LOCALSEARCH-LB-,6678.833146103267,13407.16291475296,1.0
200,LOCALSEARCH-HC-,6678.833146103267,3471.667225599289,1.0
250,GREEDY-,8522.400457318216,455.733295917511,1.0
250,LOCALSEARCH-LB-,7254.621005028065,20146.17456316948,1.0
250,LOCALSEARCH-HC-,7254.621005028065,4670.618250846863,1.0
300,GREEDY-,9000.500249596935,850.1753866672516,1.0
