nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,mean_number_parcel_handover,execution_time,CT_reduction_perc,UT_increase_perc
20,5,2,12,LOCALSEARCH-HC,9120.9376,2.6188,3,8172.9169,0.8961,0,0.260301242,0.0,0.0
20,5,2,12,LOCALSEARCH-BFSOPT,9120.9376,2.6188,3,8172.9169,0.8961,0,0.260097494,0.0,0.0
20,5,2,13,GREEDY,11540.5474,3.5776,4,11170.8644,0.968,0,0.222179,0.0,0.0
20,5,2,13,LOCALSEARCH-LB,11190.5434,3.5784,4,11178.7059,0.9989,0,0.457266714,-3.0328197430218866,0.07019600023074715
20,5,2,13,LOCALSEARCH-HC,11190.5434,3.5784,4,11178.7059,0.9989,0,0.340963589,-3.0328197430218866,0.07019600023074715
20,5,2,13,LOCALSEARCH-BFSOPT,11190.5434,3.5784,4,11178.7059,0.9989,0,0.458401695,-3.0328197430218866,0.07019600023074715
20,5,2,14,GREEDY,11631.7155,3.7407,3.5,10534.6668,0.9057,0,0.219339778,0.0,0.0
20,5,2,14,LOCALSEARCH-LB,10962.2051,3.7745,3.5,10921.3039,0.9963,0.2,0.314134531,-5.755904191432475,3.670140758509798
20,5,2,14,LOCALSEARCH-HC,10962.2051,3.7745,3.5,10921.3039,0.9963,0.2,0.311929597,-5.755904191432475,3.670140758509798
20,5,2,14,LOCALSEARCH-BFSOPT,10962.2051,3.7745,3.5,10921.3039,0.9963,0.2,0.315430017,-5.755904191432475,3.670140758509798
20,5,2,15,GREEDY,8698.5319,3.257,3,7440.8296,0.8554,0,0.21560848,0.0,0.0
20,5,2,15,LOCALSEARCH-LB,8698.5319,3.257,3,7440.8296,0.8554,0,0.248633503,0.0,0.0
20,5,2,15,LOCALSEARCH-HC,8698.5319,3.257,3,7440.8296,0.8554,0,0.248009008,0.0,0.0
20,5,2,15,LOCALSEARCH-BFSOPT,8698.5319,3.257,3,7440.8296,0.8554,0,0.250754564,0.0,0.0
20,5,2,16,GREEDY,13614.9428,3.0668,3,11695.1538,0.859,0,0.220529103,0.0,0.0
20,5,2,16,LOCALSEARCH-LB,12257.0227,3.1042,3,12104.6407,0.9876,0.4,0.770518914,-9.973748108585525,3.501338306470154
20,5,2,16,LOCALSEARCH-HC,12277.0227,3.0919,3,11966.5554,0.9747,0,0.312670666,-9.826850686438442,2.320633012966441
20,5,2,16,LOCALSEARCH-BFSOPT,12257.0227,3.1042,3,12104.6407,0.9876,0.4,0.717185918,-9.973748108585525,3.501338306470154
20,5,2,17,GREEDY,11955.8667,2.8751,2.5,9489.0225,0.7937,0,0.216314326,0.0,0.0
20,5,2,17,LOCALSEARCH-LB,10185.7167,2.9264,2.5,10064.6928,0.9881,0.2,0.407073634,-14.805702040823185,6.066697597144507
20,5,2,17,LOCALSEARCH-HC,10185.7167,2.9264,2.5,10064.6928,0.9881,0.2,0.325474598,-14.805702040823185,6.066697597144507
20,5,2,17,LOCALSEARCH-BFSOPT,10185.7167,2.9264,2.5,10064.6928,0.9881,0.2,0.364009539,-14.805702040823185,6.066697597144507
20,5,2,18,GREEDY,9682.1798,3.3174,3.5,9397.5941,0.9706,0,0.217167358,0.0,0.0
20,5,2,18,LOCALSEARCH-LB,9682.1798,3.3174,3.5,9397.5941,0.9706,0,0.26490857,0.0,0.0
20,5,2,18,LOCALSEARCH-HC,9682.1798,3.3174,3.5,9397.5941,0.9706,0,0.26400235,0.0,0.0
20,5,2,18,LOCALSEARCH-BFSOPT,9682.1798,3.3174,3.5,9397.5941,0.9706,0,0.267853776,0.0,0.0
20,5,2,19,GREEDY,8344.3483,1.3596,1,6546.1586,0.7845,0,0.215905765,0.0,0.0
20,5,2,19,LOCALSEARCH-LB,7706.0315,1.4626,1,7662.6936,0.9944,0,0.24756133,-7.649690269999871,17.05633896496183
20,5,2,19,LOCALSEARCH-HC,7706.0315,1.4626,1,7662.6936,0.9944,0,0.249509828,-7.649690269999871,17.05633896496183
20,5,2,19,LOCALSEARCH-BFSOPT,7706.0315,1.4626,1,7662.6936,0.9944,0,0.249466601,-7.649690269999871,17.05633896496183
20,5,2,20,GREEDY,10803.1169,3.2536,3,9426.3135,0.8726,0,0.215287361,0.0,0.0
20,5,2,20,LOCALSEARCH-LB,10105.3569,3.2583,3,9476.7422,0.9378,0,0.380209952,-6.458876696965116,0.5349779635485324
20,5,2,20,LOCALSEARCH-HC,10105.3569,3.2583,3,9476.7422,0.9378,0,0.32030329,-6.458876696965116,0.5349779635485324
20,5,2,20,LOCALSEARCH-BFSOPT,10105.3569,3.2583,3,9476.7422,0.9378,0,0.383481741,-6.458876696965116,0.5349779635485324
20,5,2,21,GREEDY,11213.9845,4.0748,5,10443.329,0.9313,0,0.217766736,0.0,0.0
20,5,2,21,LOCALSEARCH-LB,11153.9845,4.1285,4.5,11014.7894,0.9875,0.2,0.927160236,-0.5350462184070256,5.472013761129233
20,5,2,21,LOCALSEARCH-HC,11153.9845,4.1285,4.5,11014.7894,0.9875,0.2,0.474511701,-0.5350462184070256,5.472013761129233
20,5,2,21,LOCALSEARCH-BFSOPT,11153.9845,4.1285,4.5,11014.7894,0.9875,0.2,0.650337008,-0.5350462184070256,5.472013761129233
20,5,2,22,GREEDY,9444.1744,3.4264,3.5,9101.6287,0.9637,0,0.216320986,0.0,0.0
20,5,2,22,LOCALSEARCH-LB,9444.1744,3.4264,3.5,9101.6287,0.9637,0,0.257438306,0.0,0.0
20,5,2,22,LOCALSEARCH-HC,9444.1744,3.4264,3.5,9101.6287,0.9637,0,0.255827862,0.0,0.0
20,5,2,22,LOCALSEARCH-BFSOPT,9444.1744,3.4264,3.5,9101.6287,0.9637,0,0.25714505,0.0,0.0
20,5,2,23,GREEDY,9011.8022,1.5456,1.5,7041.3705,0.7813,0,0.215332148,0.0,0.0
20,5,2,23,LOCALSEARCH-LB,7956.3916,1.6132,2,7803.8799,0.9808,0,0.403305171,-11.711426600108911,10.82899131639217
20,5,2,23,LOCALSEARCH-HC,7956.3916,1.6132,2,7803.8799,0.9808,0,0.274453123,-11.711426600108911,10.82899131639217
20,5,2,23,LOCALSEARCH-BFSOPT,7956.3916,1.6132,2,7803.8799,0.9808,0,0.372388221,-11.711426600108911,10.82899131639217
20,5,2,24,GREEDY,11971.1039,2.4785,2,8972.3857,0.7495,0,0.216717302,0.0,0.0
20,5,2,24,LOCALSEARCH-LB,10014.2861,2.5454,2,9685.5688,0.9672,0.2,0.620486248,-16.346176729783465,7.9486451412805215
20,5,2,24,LOCALSEARCH-HC,10014.2861,2.5454,2,9685.5688,0.9672,0.2,0.312397505,-16.346176729783465,7.9486451412805215
20,5,2,24,LOCALSEARCH-BFSOPT,10014.2861,2.5454,2,9685.5688,0.9672,0.2,0.433093676,-16.346176729783465,7.9486451412805215
20,5,2,25,GREEDY,14430.4541,2.8306,3,12218.4024,0.8467,0,0.220307759,0.0,0.0
20,5,2,25,LOCALSEARCH-LB,12573.0134,2.8556,3,12509.3372,0.9949,0.2,0.425585009,-12.871671862356715,2.3811198099024717
20,5,2,25,LOCALSEARCH-HC,12573.0134,2.8556,3,12509.3372,0.9949,0.2,0.371422307,-12.871671862356715,2.3811198099024717
20,5,2,25,LOCALSEARCH-BFSOPT,12573.0134,2.8556,3,12509.3372,0.9949,0.2,0.42878428,-12.871671862356715,2.3811198099024717
20,5,2,26,GREEDY,11257.8499,2.4639,2.5,10113.157,0.8983,0,0.217400913,0.0,0.0
20,5,2,26,LOCALSEARCH-LB,11257.8499,2.4639,2.5,10113.157,0.8983,0,0.253009067,0.0,0.0
20,5,2,26,LOCALSEARCH-HC,11257.8499,2.4639,2.5,10113.157,0.8983,0,0.256280745,0.0,0.0
20,5,2,26,LOCALSEARCH-BFSOPT,11257.8499,2.4639,2.5,10113.157,0.8983,0,0.254362522,0.0,0.0
20,5,2,27,GREEDY,10230.0504,2.9802,3.5,8734.7251,0.8538,0,0.215259269,0.0,0.0
20,5,2,27,LOCALSEARCH-LB,9455.8155,3.0218,3.5,9039.8278,0.956,0.2,0.282582332,-7.568241306025232,3.4929857151428783
20,5,2,27,LOCALSEARCH-HC,9455.8155,3.0218,3.5,9039.8278,0.956,0.2,0.282447131,-7.568241306025232,3.4929857151428783
20,5,2,27,LOCALSEARCH-BFSOPT,9455.8155,3.0218,3.5,9039.8278,0.956,0.2,0.283544464,-7.568241306025232,3.4929857151428783
20,5,2,28,GREEDY,10552.9692,4.469,5.5,9826.2416,0.9311,0,0.219057639,0.0,0.0
20,5,2,28,LOCALSEARCH-LB,10552.9692,4.469,5.5,9826.2416,0.9311,0,0.282688494,0.0,0.0
20,5,2,28,LOCALSEARCH-HC,10552.9692,4.469,5.5,9826.2416,0.9311,0,0.284121453,0.0,0.0
20,5,2,28,LOCALSEARCH-BFSOPT,10552.9692,4.469,5.5,9826.2416,0.9311,0,0.28368281,0.0,0.0
20,5,2,29,GREEDY,11137.051,4.2867,5,8937.0116,0.8025,0,0.218728341,0.0,0.0
20,5,2,29,LOCALSEARCH-LB,9355.7874,4.3483,5,9260.6852,0.9898,0.2,1.740997705,-15.994032890753578,3.6217207103099214
20,5,2,29,LOCALSEARCH-HC,9784.4596,4.3243,5,9344.1221,0.955,0,0.387191666,-12.144969076643353,4.555331448825698
20,5,2,29,LOCALSEARCH-BFSOPT,9355.7874,4.3483,5,9260.6852,0.9898,0.2,1.302800314,-15.994032890753578,3.6217207103099214
20,5,2,30,GREEDY,10238.7815,2.719,3,7807.7189,0.7626,0,0.215585954,0.0,0.0
20,5,2,30,LOCALSEARCH-LB,9037.0849,2.7661,3,8318.5628,0.9205,0,0.308327697,-11.736714959685383,6.54280599164501
20,5,2,30,LOCALSEARCH-HC,9037.0849,2.7661,3,8318.5628,0.9205,0,0.271449322,-11.736714959685383,6.54280599164501
20,5,2,30,LOCALSEARCH-BFSOPT,9037.0849,2.7661,3,8318.5628,0.9205,0,0.308544296,-11.736714959685383,6.54280599164501
20,5,2,31,GREEDY,13143.6099,4.5758,4.5,11758.8777,0.8946,0,0.21908003,0.0,0.0
20,5,2,31,LOCALSEARCH-LB,11821.2287,4.5758,4.5,11758.8777,0.9947,0,0.747409821,-10.061019842045068,0.0
20,5,2,31,LOCALSEARCH-HC,11821.2287,4.5758,4.5,11758.8777,0.9947,0,0.398985224,-10.061019842045068,0.0
20,5,2,31,LOCALSEARCH-BFSOPT,11821.2287,4.5758,4.5,11758.8777,0.9947,0,0.628844104,-10.061019842045068,0.0
20,5,2,32,GREEDY,10041.448,2.7056,2.5,8740.5066,0.8704,0,0.214814624,0.0,0.0
20,5,2,32,LOCALSEARCH-LB,10034.8618,2.8168,2.5,9944.972,0.991,0,0.265243094,-0.06559014197952064,13.78026989877222
20,5,2,32,LOCALSEARCH-HC,10034.8618,2.8168,2.5,9944.972,0.991,0,0.263514116,-0.06559014197952064,13.78026989877222
20,5,2,32,LOCALSEARCH-BFSOPT,10034.8618,2.8168,2.5,9944.972,0.991,0,0.265444086,-0.06559014197952064,13.78026989877222
20,5,2,33,GREEDY,10758.2312,2.0287,2,9093.2996,0.8452,0,0.217159357,0.0,0.0
20,5,2,33,LOCALSEARCH-LB,9877.8783,2.0911,2,9735.8212,0.9856,0.2,0.399795338,-8.183063587627673,7.065879584567961
20,5,2,33,LOCALSEARCH-HC,9877.8783,2.0911,2,9735.8212,0.9856,0.2,0.339088674,-8.183063587627673,7.065879584567961
20,5,2,33,LOCALSEARCH-BFSOPT,9877.8783,2.0911,2,9735.8212,0.9856,0.2,0.400515749,-8.183063587627673,7.065879584567961
20,5,2,34,GREEDY,12527.1394,2.0141,1.5,9484.794,0.7571,0,0.218247602,0.0,0.0
20,5,2,34,LOCALSEARCH-LB,10441.0685,2.1395,2,10391.5226,0.9953,0.2,0.43054896,-16.652412281769617,9.559813318033058
20,5,2,34,LOCALSEARCH-HC,10441.0685,2.1395,2,10391.5226,0.9953,0.2,0.362480397,-16.652412281769617,9.559813318033058
20,5,2,34,LOCALSEARCH-BFSOPT,10441.0685,2.1395,2,10391.5226,0.9953,0.2,0.433250397,-16.652412281769617,9.559813318033058
20,5,2,35,GREEDY,7375.6031,3.131,3.5,6271.9946,0.8504,0,0.214656693,0.0,0.0
20,5,2,35,LOCALSEARCH-LB,7375.6031,3.131,3.5,6271.9946,0.8504,0,0.245452941,0.0,0.0
20,5,2,35,LOCALSEARCH-HC,7375.6031,3.131,3.5,6271.9946,0.8504,0,0.244993412,0.0,0.0
20,5,2,35,LOCALSEARCH-BFSOPT,7375.6031,3.131,3.5,6271.9946,0.8504,0,0.246309793,0.0,0.0
20,5,2,36,GREEDY,9512.9118,3.0116,3.5,7833.9189,0.8235,0,0.213826408,0.0,0.0
20,5,2,36,LOCALSEARCH-LB,8879.5468,3.0842,3,8609.9496,0.9696,0.2,0.352458618,-6.657950933593222,9.906034385931672
20,5,2,36,LOCALSEARCH-HC,8879.5468,3.0842,3,8609.9496,0.9696,0.2,0.278763259,-6.657950933593222,9.906034385931672
20,5,2,36,LOCALSEARCH-BFSOPT,8879.5468,3.0842,3,8609.9496,0.9696,0.2,0.353813644,-6.657950933593222,9.906034385931672
20,5,2,37,GREEDY,7875.8091,1.8656,1.5,6643.8878,0.8436,0,0.242702138,0.0,0.0
20,5,2,37,LOCALSEARCH-LB,7458.7047,1.9149,1.5,7177.3843,0.9623,0,0.302617047,-5.296019681330267,8.029884249399865
20,5,2,37,LOCALSEARCH-HC,7458.7047,1.9149,1.5,7177.3843,0.9623,0,0.277888482,-5.296019681330267,8.029884249399865
20,5,2,37,LOCALSEARCH-BFSOPT,7458.7047,1.9149,1.5,7177.3843,0.9623,0,0.300582076,-5.296019681330267,8.029884249399865
20,5,2,38,GREEDY,11255.968,4.2087,5,10161.308,0.9027,0,0.217869818,0.0,0.0
20,5,2,38,LOCALSEARCH-LB,11255.968,4.2087,5,10161.308,0.9027,0,0.287932529,0.0,0.0
20,5,2,38,LOCALSEARCH-HC,11255.968,4.2087,5,10161.308,0.9027,0,0.288023164,0.0,0.0
20,5,2,38,LOCALSEARCH-BFSOPT,11255.968,4.2087,5,10161.308,0.9027,0,0.286231982,0.0,0.0
20,5,2,39,GREEDY,10483.0474,2.513,2.5,8831.2906,0.8424,0,0.216858026,0.0,0.0
20,5,2,39,LOCALSEARCH-LB,10357.4779,2.6382,2.5,10206.7749,0.9854,0.2,0.277816541,-1.197833942828491,15.575122168440476
20,5,2,39,LOCALSEARCH-HC,10357.4779,2.6382,2.5,10206.7749,0.9854,0.2,0.277960731,-1.197833942828491,15.575122168440476
20,5,2,39,LOCALSEARCH-BFSOPT,10357.4779,2.6382,2.5,10206.7749,0.9854,0.2,0.277381677,-1.197833942828491,15.575122168440476
20,5,2,40,GREEDY,12975.8818,3.5905,4,10509.8209,0.81,0,0.219461628,0.0,0.0
20,5,2,40,LOCALSEARCH-LB,12595.691,3.6441,4,11090.6972,0.8805,0,0.369522182,-2.9299804503459526,5.526985716759453
20,5,2,40,LOCALSEARCH-HC,12595.691,3.6441,4,11090.6972,0.8805,0,0.314324624,-2.9299804503459526,5.526985716759453
20,5,2,40,LOCALSEARCH-BFSOPT,12595.691,3.6441,4,11090.6972,0.8805,0,0.369964998,-2.9299804503459526,5.526985716759453
20,5,2,41,GREEDY,12025.1545,2.7875,2.5,10221.9454,0.85,0,0.217515238,0.0,0.0
20,5,2,41,LOCALSEARCH-LB,12025.1545,2.7875,2.5,10221.9454,0.85,0,0.249699991,0.0,0.0
20,5,2,41,LOCALSEARCH-HC,12025.1545,2.7875,2.5,10221.9454,0.85,0,0.251224662,0.0,0.0
20,5,2,41,LOCALSEARCH-BFSOPT,12025.1545,2.7875,2.5,10221.9454,0.85,0,0.250097055,0.0,0.0
20,5,2,42,GREEDY,10262.0554,3.2473,3.5,9374.6597,0.9135,0,0.21805348,0.0,0.0
20,5,2,42,LOCALSEARCH-LB,9432.9966,3.2473,3.5,9374.6597,0.9938,0,0.413667465,-8.078876674160217,0.0
20,5,2,42,LOCALSEARCH-HC,9432.9966,3.2473,3.5,9374.6597,0.9938,0,0.326654471,-8.078876674160217,0.0
20,5,2,42,LOCALSEARCH-BFSOPT,9432.9966,3.2473,3.5,9374.6597,0.9938,0,0.381979805,-8.078876674160217,0.0
20,5,2,43,GREEDY,8969.9669,1.9132,1.5,7608.2249,0.8482,0,0.216036458,0.0,0.0
20,5,2,43,LOCALSEARCH-LB,7854.5016,1.9339,1.5,7831.9798,0.9971,0,0.342344033,-12.435556479032268,2.94096064378959
20,5,2,43,LOCALSEARCH-HC,7854.5016,1.9339,1.5,7831.9798,0.9971,0,0.254300162,-12.435556479032268,2.94096064378959
