nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time,perc_flight_time,perc_swap_time,perc_load_unload_time,perc_waiting_time,diff_demand-cons
20,5,2,6,LOCALSEARCH-BFSOPT,11660.7516,11164.1192,10764.1192,300,100,0,6674.775,75348.8341,4.3482,5,11164.1192,0.9574,0,0,0.37055515,0.964170931,0.026871802,0.008957267,0,1.6518
20,5,2,7,GREEDY,10970.3267,9415.6976,9105.6976,210,100,0,6070.4682,63739.8829,2.7824,3.5,9415.6976,0.8583,0,0,0.218073968,0.967076258,0.02230318,0.010620562,0,1.7176
20,5,2,7,LOCALSEARCH-LB,9908.4393,9617.1733,9287.1733,210,120,0,6151.0585,65010.213,2.7991,3.5,9617.1733,0.9706,1,0.2,0.535718321,0.965686383,0.021835938,0.012477679,0,1.7009
20,5,2,7,LOCALSEARCH-HC,9908.4393,9617.1733,9287.1733,210,120,0,6151.0585,65010.213,2.7991,3.5,9617.1733,0.9706,1,0.2,0.328149103,0.965686383,0.021835938,0.012477679,0,1.7009
20,5,2,7,LOCALSEARCH-BFSOPT,9908.4393,9617.1733,9287.1733,210,120,0,6151.0585,65010.213,2.7991,3.5,9617.1733,0.9706,1,0.2,0.654611539,0.965686383,0.021835938,0.012477679,0,1.7009
20,5,2,8,GREEDY,10297.973,9308.1492,8968.1492,240,100,0,6317.2134,62777.0441,3.0281,4,9308.1492,0.9039,0,0,0.216258315,0.963472867,0.025783858,0.010743274,0,1.9719
20,5,2,8,LOCALSEARCH-LB,10297.973,9308.1492,8968.1492,240,100,0,6317.2134,62777.0441,3.0281,4,9308.1492,0.9039,0,0,0.244426836,0.963472867,0.025783858,0.010743274,0,1.9719
20,5,2,8,LOCALSEARCH-HC,10297.973,9308.1492,8968.1492,240,100,0,6317.2134,62777.0441,3.0281,4,9308.1492,0.9039,0,0,0.243582962,0.963472867,0.025783858,0.010743274,0,1.9719
20,5,2,8,LOCALSEARCH-BFSOPT,10297.973,9308.1492,8968.1492,240,100,0,6317.2134,62777.0441,3.0281,4,9308.1492,0.9039,0,0,0.245043795,0.963472867,0.025783858,0.010743274,0,1.9719
20,5,2,9,GREEDY,10177.7208,8172.5931,7952.5931,120,100,0,4912.3601,55668.1519,1.8815,2,8172.5931,0.803,0,0,0.214273093,0.973080759,0.014683222,0.012236018,0,1.1185
