nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time
20,15,2,7,LOCALSEARCH-BFSOPT,23446.252,23196.9103,22296.9103,600.0,300.0,0.0, 11822.0442,156078.3722,7.8516,10.0,23196.9103,0.9894,0,0.0,2.8083852449999966
20,15,2,8,GREEDY,28448.6519,26717.5852,25727.5852,690.0,300.0,0.0, 13556.0765,180093.0963,9.4954,11.5,26717.5852,0.9392,0,0.0,1.8196356180000013
20,15,2,8,LOCALSEARCH-LB,27286.4608,27154.901,26164.901,690.0,300.0,-0.0, 13925.0998,183154.3071,9.5357,11.5,27154.901,0.9952,0,0.0,8.059106268999997
20,15,2,8,LOCALSEARCH-HC,27286.4608,27154.901,26164.901,690.0,300.0,-0.0, 13925.0998,183154.3071,9.5357,11.5,27154.901,0.9952,0,0.0,3.725208889000001
20,15,2,8,LOCALSEARCH-BFSOPT,26876.1946,26767.5852,25727.5852,720.0,320.0,-0.0, 13900.2489,180093.0963,9.4954,12.0,26767.5852,0.996,1,0.0667,15.623688202000011
20,15,2,9,GREEDY,27178.575,25688.7745,24758.7745,630.0,300.0,0.0, 11473.5705,173311.4214,8.382,10.5,25688.7745,0.9452,0,0.0,1.7647363180000006
20,15,2,9,LOCALSEARCH-LB,25943.9722,25768.1252,24808.1252,660.0,300.0,0.0, 11494.7307,173656.8764,8.3866,11.0,25768.1252,0.9932,0,0.0,11.292155047999998
20,15,2,9,LOCALSEARCH-HC,25943.9722,25768.1252,24808.1252,660.0,300.0,0.0, 11494.7307,173656.8764,8.3866,11.0,25768.1252,0.9932,0,0.0,3.5171424490000014
20,15,2,9,LOCALSEARCH-BFSOPT,25943.9722,25788.1252,24808.1252,660.0,320.0,0.0, 11500.0641,173656.8764,8.3866,11.0,25788.1252,0.994,0,0.0,9.333193960999992
20,15,2,10,GREEDY,31986.9379,30582.9164,29382.9164,900.0,300.0,-0.0, 14131.1356,205680.4149,11.7849,15.0,30582.9164,0.9561,0,0.0,1.8383749290000004
20,15,2,10,LOCALSEARCH-LB,31029.7758,31013.6358,29793.6358,900.0,320.0,-0.0, 14452.849,208555.4508,11.8228,15.0,31013.6358,0.9995,1,0.0667,34.010208207000005
20,15,2,10,LOCALSEARCH-HC,31029.7758,31013.6358,29793.6358,900.0,320.0,-0.0, 14452.849,208555.4508,11.8228,15.0,31013.6358,0.9995,1,0.0667,6.881617495999997
20,15,2,10,LOCALSEARCH-BFSOPT,31029.7758,31013.6358,29793.6358,900.0,320.0,-0.0, 14452.849,208555.4508,11.8228,15.0,31013.6358,0.9995,1,0.0667,31.754804906000004
20,15,2,11,GREEDY,27310.7999,25481.501,24491.501,690.0,300.0,0.0, 11650.0137,171440.507,9.1982,11.5,25481.501,0.933,0,0.0,1.8000519210000014
20,15,2,11,LOCALSEARCH-LB,25699.8157,25504.6511,24494.6511,690.0,320.0,0.0, 11797.9546,171462.5574,9.1985,11.5,25504.6511,0.9924,1,0.0667,17.629036486000004
20,15,2,11,LOCALSEARCH-HC,25699.8157,25504.6511,24494.6511,690.0,320.0,0.0, 11797.9546,171462.5574,9.1985,11.5,25504.6511,0.9924,1,0.0667,4.373890269999997
20,15,2,11,LOCALSEARCH-BFSOPT,25699.8157,25504.6511,24494.6511,690.0,320.0,0.0, 11797.9546,171462.5574,9.1985,11.5,25504.6511,0.9924,1,0.0667,17.915698399000007
20,15,2,12,GREEDY,24430.1852,23030.4262,22010.4262,720.0,300.0,-0.0, 11195.392,154072.9836,8.5954,12.0,23030.4262,0.9427,0,0.0,1.771679375999998
20,15,2,12,LOCALSEARCH-LB,23092.7331,23055.6846,22015.6846,720.0,320.0,0.0, 11205.4953,154109.7923,8.5958,12.0,23055.6846,0.9984,1,0.0667,14.618517882999996
